participant_id,account_status,first_mapped_squat_date,first_mapped_stage,first_mapped_stage_label,last_mapped_squat_date,first_goblet_date,first_nexus_after_goblet_date,days_goblet_to_nexus,observed_goblet_then_nexus_sequence,prior_higher_stage_before_goblet,clean_goblet_to_nexus_progression,highest_stage_observed,highest_stage_label,interpretation
WSP-97D354E37F,deactivated,2024-01-16,1,Goblet Squat,2025-05-13,2024-01-16,2024-03-18,62,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-9CEDFF8374,active,2023-09-11,2,Nexus Point Squat,2026-07-20,2023-10-30,2024-08-23,298,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-20C96BEF08,deactivated,2023-10-09,2,Nexus Point Squat,2024-09-06,2024-01-09,2024-01-15,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-E6C38FCCB7,deactivated,2023-10-16,2,Nexus Point Squat,2024-10-11,2024-01-09,2024-02-05,27,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-6EE81465BB,deactivated,2023-10-23,2,Nexus Point Squat,2024-04-12,2024-01-09,2024-01-22,13,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-F8E778D44B,active,2023-11-06,2,Nexus Point Squat,2026-07-21,2023-11-08,2023-11-20,12,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-793DCC26EF,deactivated,2023-09-11,2,Nexus Point Squat,2026-03-06,2025-01-18,2025-01-20,2,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-EE6F308504,deactivated,2023-09-11,2,Nexus Point Squat,2024-08-09,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-A51366448E,deactivated,2023-09-25,2,Nexus Point Squat,2025-01-20,2024-01-23,2024-01-29,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-0D8377D20F,deactivated,2023-09-11,2,Nexus Point Squat,2024-05-31,2024-01-09,2024-01-15,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-126D7BFCF6,deactivated,2023-10-16,1,Goblet Squat,2024-08-23,2023-10-16,,,False,False,False,1,Goblet Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-3147A61873,deactivated,2023-09-11,2,Nexus Point Squat,2025-03-17,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-DB04841EAF,deactivated,2023-10-09,2,Nexus Point Squat,2024-06-28,2024-01-16,2024-01-22,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-8DEF3EDD80,deactivated,2023-09-25,2,Nexus Point Squat,2024-04-12,2024-01-09,2024-03-04,55,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-238D187D11,deactivated,2023-09-25,2,Nexus Point Squat,2024-11-01,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-E3A5A761C3,active,2023-09-25,2,Nexus Point Squat,2026-07-20,2024-01-16,2024-01-22,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-C1751DA190,deactivated,2023-10-23,1,Goblet Squat,2026-01-23,2023-10-23,2023-10-30,7,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-4A1776AEC7,deactivated,2023-10-17,2,Nexus Point Squat,2024-07-19,2024-07-19,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-0BEEB934D8,deactivated,2023-11-15,1,Goblet Squat,2024-01-16,2023-11-15,,,False,False,False,1,Goblet Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-C9A3080F47,deactivated,2023-10-30,2,Nexus Point Squat,2024-03-04,2023-11-06,2023-12-04,28,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-C43D13B011,deactivated,2023-11-06,2,Nexus Point Squat,2024-10-11,2023-11-20,2024-01-08,49,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-F2A879B1C6,deactivated,2023-11-13,2,Nexus Point Squat,2024-02-26,2023-11-20,2023-12-11,21,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-F3DDD2F754,active,2023-11-13,2,Nexus Point Squat,2026-07-13,2026-01-02,2026-03-27,84,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-33FE7D8280,deactivated,2023-11-22,1,Goblet Squat,2024-06-14,2023-11-22,2024-05-03,163,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-1A45C09BA9,deactivated,2023-11-27,2,Nexus Point Squat,2024-05-10,2024-01-23,2024-01-29,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-45C51DD4A0,deactivated,2023-12-11,2,Nexus Point Squat,2025-09-22,2024-01-09,2024-01-15,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-A16D32377E,deactivated,2023-12-25,2,Nexus Point Squat,2025-04-07,2024-01-09,2024-01-22,13,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-508B2B9083,deactivated,2024-01-01,2,Nexus Point Squat,2025-08-22,2024-01-09,2024-01-15,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-8CC1C48139,deactivated,2024-01-08,1,Goblet Squat,2024-09-20,2024-01-08,2024-01-15,7,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-2DD2090892,deactivated,2024-01-22,2,Nexus Point Squat,2024-06-14,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-E4DBF5AF4F,deactivated,2024-01-12,1,Goblet Squat,2024-04-19,2024-01-12,2024-02-12,31,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-2F240CC891,deactivated,2024-01-22,2,Nexus Point Squat,2025-06-30,2024-01-23,2024-01-29,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-80F9D81D9C,deactivated,2024-01-15,2,Nexus Point Squat,2024-07-19,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-917EBE9157,active,2024-02-19,2,Nexus Point Squat,2026-03-20,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-980C323A41,deactivated,2024-02-05,2,Nexus Point Squat,2024-09-13,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-3B237C01FD,deactivated,2024-02-12,1,Goblet Squat,2025-01-06,2024-02-12,2024-02-26,14,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-D68795368D,deactivated,2024-11-22,2,Nexus Point Squat,2025-11-10,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-3E3373D817,deactivated,2024-02-12,2,Nexus Point Squat,2025-02-19,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-1D64AEA7AC,active,2024-02-19,2,Nexus Point Squat,2026-04-14,2025-01-04,2025-01-06,2,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-8FCC2A12B0,deactivated,2024-03-04,2,Nexus Point Squat,2024-10-25,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-5A6CABB970,deactivated,2024-03-04,2,Nexus Point Squat,2025-01-20,2025-01-04,2025-01-20,16,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-839BF4988D,active,2024-11-25,1,Goblet Squat,2026-04-22,2024-11-25,,,False,False,False,1,Goblet Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-172DA73F30,deactivated,2024-03-11,2,Nexus Point Squat,2024-07-12,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-985E0421A3,deactivated,2024-04-12,2,Nexus Point Squat,2024-11-08,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-B13A9E275F,active,2024-06-14,1,Goblet Squat,2026-07-20,2024-06-14,2024-06-28,14,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-369FB9871C,deactivated,2024-05-10,2,Nexus Point Squat,2025-01-13,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-DA7E69ED08,active,2026-02-23,1,Goblet Squat,2026-05-20,2026-02-23,,,False,False,False,1,Goblet Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-094A18C2BC,deactivated,2024-04-12,2,Nexus Point Squat,2025-01-20,2024-04-26,2024-05-03,7,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-430F2625BA,deactivated,2024-04-12,1,Goblet Squat,2025-03-17,2024-04-12,2024-04-26,14,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-993531D4CB,deactivated,2024-05-03,2,Nexus Point Squat,2024-05-24,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-3E58E62E3C,deactivated,2024-05-10,2,Nexus Point Squat,2024-11-29,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-12B45EC0B3,active,2024-08-12,2,Nexus Point Squat,2026-07-13,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-F148A8C19A,active,2024-05-17,2,Nexus Point Squat,2026-07-20,2025-02-18,2025-04-05,46,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-74F1CDA5E1,deactivated,2024-05-17,2,Nexus Point Squat,2024-07-05,2024-07-05,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-0F776FC732,active,2024-08-23,2,Nexus Point Squat,2026-03-20,2026-01-02,2026-02-27,56,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-CA8A80ADFD,deactivated,2024-06-07,2,Nexus Point Squat,2024-12-06,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-D408964823,active,2024-09-02,2,Nexus Point Squat,2024-09-02,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-ABCBEBB4A2,deactivated,2024-06-27,2,Nexus Point Squat,2024-08-02,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-598C3651E3,active,2024-07-19,2,Nexus Point Squat,2026-07-20,2025-04-29,2025-05-12,13,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-F384938133,deactivated,2024-07-26,2,Nexus Point Squat,2026-03-27,2025-01-11,2025-01-13,2,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-88E68BBB20,deactivated,2024-08-01,2,Nexus Point Squat,2026-03-05,2026-01-29,2026-02-12,14,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-122F29AB30,active,2024-08-01,2,Nexus Point Squat,2026-05-30,2026-01-02,2026-01-23,21,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-DFD4C8DEAD,deactivated,2024-08-08,1,Goblet Squat,2025-06-24,2024-08-08,2025-06-10,306,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-283EB45961,deactivated,2024-09-06,2,Nexus Point Squat,2025-06-30,2025-05-12,2025-06-30,49,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-A03074CBCD,deactivated,2024-08-14,2,Nexus Point Squat,2025-02-14,2024-08-21,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-834F6C7D34,deactivated,2024-08-23,1,Goblet Squat,2026-03-24,2024-08-23,2024-08-30,7,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-C7DB94648A,deactivated,2024-08-23,2,Nexus Point Squat,2025-06-23,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-4FAA0DBC53,deactivated,2024-08-23,1,Goblet Squat,2024-11-29,2024-08-23,2024-08-30,7,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-ACF22DFC36,active,2024-08-23,1,Goblet Squat,2026-07-13,2024-08-23,2024-11-15,84,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-203C8BDBC2,deactivated,2024-08-23,2,Nexus Point Squat,2025-12-22,2025-05-06,2025-05-12,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-CB9B1E6147,deactivated,2024-08-30,2,Nexus Point Squat,2025-01-06,2024-09-06,2024-12-27,112,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-A8EA01317E,active,2025-03-31,2,Nexus Point Squat,2026-07-20,2026-01-09,2026-03-27,77,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-C91829EC0C,active,2024-09-06,1,Goblet Squat,2026-07-20,2024-09-06,2025-01-13,129,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-FF4581D5ED,active,2024-09-06,2,Nexus Point Squat,2026-07-20,2025-01-04,2025-01-06,2,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-89E2851F63,active,2024-09-06,1,Goblet Squat,2026-07-20,2024-09-06,2024-10-18,42,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-5BD4C15BD0,active,2024-10-25,2,Nexus Point Squat,2026-07-21,2024-11-15,2025-01-06,52,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-8AAB49EA74,deactivated,2024-09-24,2,Nexus Point Squat,2025-10-13,2024-11-13,2025-08-11,271,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-E9A071CF26,deactivated,2024-09-23,2,Nexus Point Squat,2025-08-07,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-490AC3178E,deactivated,2024-09-23,2,Nexus Point Squat,2025-01-13,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-B7E03B3291,deactivated,2024-10-14,2,Nexus Point Squat,2026-03-20,2024-11-08,2024-12-27,49,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-A0F48C6240,deactivated,2024-10-15,2,Nexus Point Squat,2025-09-22,2025-04-29,2025-05-12,13,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-AB0A6E5C81,active,2024-11-01,2,Nexus Point Squat,2026-07-06,2025-03-13,2025-03-17,4,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-7535D2F1E6,active,2024-10-30,2,Nexus Point Squat,2026-07-21,2024-11-26,2025-08-11,258,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-441FFAFE2A,deactivated,2024-11-04,2,Nexus Point Squat,2026-04-21,2024-12-02,2025-05-26,175,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-CE19BE311D,deactivated,2024-11-15,2,Nexus Point Squat,2026-02-27,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-A33C609992,deactivated,2024-11-14,2,Nexus Point Squat,2026-03-03,2024-11-22,2024-12-06,14,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-3B580AE77C,deactivated,2024-11-18,2,Nexus Point Squat,2025-01-03,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-6C3DFEAAAC,deactivated,2024-11-14,2,Nexus Point Squat,2024-11-14,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-206FFD8871,deactivated,2024-11-28,2,Nexus Point Squat,2025-05-12,2024-12-13,2024-12-20,7,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-92A400FCFF,active,2024-11-29,2,Nexus Point Squat,2026-07-20,2025-04-29,2025-05-05,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-09CE244225,deactivated,2024-12-02,2,Nexus Point Squat,2025-05-22,2025-01-06,2025-01-13,7,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-0AEF177A82,active,2024-12-09,2,Nexus Point Squat,2026-07-20,2024-12-13,2025-01-06,24,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-CF621D1635,deactivated,2025-01-11,1,Goblet Squat,2025-05-14,2025-01-11,2025-04-05,84,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-81921630E8,deactivated,2025-01-08,2,Nexus Point Squat,2025-11-24,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-1E12FF782F,deactivated,2025-01-13,2,Nexus Point Squat,2025-06-23,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-7AA21CB1F4,active,2025-01-20,2,Nexus Point Squat,2026-07-20,2026-01-06,2026-02-27,52,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-A440F0FC5B,active,2025-01-07,2,Nexus Point Squat,2026-07-20,2025-02-06,2025-08-11,186,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-A8A29BD2C6,deactivated,2025-03-25,2,Nexus Point Squat,2026-03-06,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-B303D39D2E,active,2025-01-07,2,Nexus Point Squat,2026-07-13,2025-01-11,2025-01-13,2,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-4614A2179D,active,2025-01-10,2,Nexus Point Squat,2026-07-21,2025-01-25,2025-01-27,2,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-9D2E5E5705,deactivated,2025-01-20,2,Nexus Point Squat,2025-07-14,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-3DA678F096,deactivated,2025-02-17,2,Nexus Point Squat,2026-03-20,2026-01-02,2026-02-27,56,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-B5C401EEAE,deactivated,2025-01-22,2,Nexus Point Squat,2025-09-30,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-028E39AF33,active,2025-01-28,2,Nexus Point Squat,2026-01-23,2026-01-23,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-307A72735D,deactivated,2025-02-10,2,Nexus Point Squat,2026-01-23,2026-01-16,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-AF093243DC,deactivated,2025-02-18,1,Goblet Squat,2025-10-27,2025-02-18,2025-03-25,35,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-0516E1CE19,active,2025-02-22,2,Nexus Point Squat,2026-07-20,2026-01-09,2026-07-20,192,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-EB89E506A9,active,2025-07-12,2,Nexus Point Squat,2026-05-07,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-07CA7A705A,active,2025-02-20,2,Nexus Point Squat,2026-05-30,2025-12-06,2026-01-24,49,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-B87BAFCC35,active,2025-02-24,2,Nexus Point Squat,2026-07-20,2026-01-06,2026-02-27,52,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-AB99896EAB,active,2025-07-14,2,Nexus Point Squat,2026-03-27,2026-01-16,2026-03-20,63,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-60241BBEE4,active,2025-02-28,2,Nexus Point Squat,2026-07-20,2026-01-09,2026-02-27,49,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-6E8E6BBB0D,active,2025-03-03,2,Nexus Point Squat,2026-07-13,2026-01-09,2026-02-27,49,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-4FDD7C13D8,deactivated,2025-05-15,1,Goblet Squat,2025-08-19,2025-05-15,2025-08-07,84,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-DABE5D39D1,active,2025-03-10,2,Nexus Point Squat,2026-07-06,2026-01-13,2026-02-27,45,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
