exercise_name,record_type,exercise_type,result_rows,participants,workouts,first_seen,last_seen
Dumbbell Bicep Curl,strength,system,1551,125,749,2023-10-13,2026-07-20
Russian Twist,endurance,system,1123,125,501,2023-12-05,2026-07-10
ATG Split Squat (Floor + 1 x 15kg Bumper Plate),endurance,custom,159,125,139,2025-06-13,2026-07-20
Band Assisted Mid Grip Pull Up,strength,system,1205,124,597,2023-10-27,2026-07-17
ATG Split Squat (Stool + 3 x 15kg Bumper Plates),endurance,custom,196,124,159,2025-06-13,2026-07-20
ATG Split Squat (Stool + 2 x 15kg Bumper Plates),endurance,custom,184,124,152,2025-06-13,2026-07-20
ATG Split Squat (Stool),endurance,custom,172,124,146,2025-06-13,2026-07-21
ATG Split Squat (Floor + 2 x 15kg Bumper Plates),endurance,custom,156,123,138,2025-06-13,2026-07-20
Bear Plank,timedLongerBetter,system,147,123,133,2025-06-13,2026-07-20
Strict Toes to Bar,endurance,system,221,121,213,2025-03-24,2026-07-21
ATG Split Squat (Stool + 4 x 15kg Bumper Plates),endurance,custom,155,121,138,2025-06-13,2026-07-20
1/2 Squat Core Brace,general,custom,1741,120,844,2023-10-09,2026-07-16
1/4 Squat Core Brace,general,custom,1729,120,838,2023-10-09,2026-07-16
Hollow Body Hold Flutter Kicks,endurance,system,1326,120,517,2023-09-12,2026-07-17
Banded Hip Abduction,strength,custom,1299,120,633,2023-09-14,2026-05-07
Half Plank (Knees),timedLongerBetter,custom,129,120,124,2025-06-13,2026-07-20
Rest,general,system,9721,118,1240,2023-10-14,2026-07-21
Dumbbell Single Arm Shoulder Press,strength,system,603,117,272,2024-11-04,2026-07-21
Bodyweight Deadbug,strength,system,842,116,360,2025-02-06,2026-07-21
Side Plank,timedLongerBetter,system,627,114,328,2023-09-11,2026-07-15
Assault Bike,cardio,custom,3803,113,1318,2023-09-12,2026-07-21
Staggered Stance Romanian Deadlift,strength,custom,882,113,435,2024-01-01,2026-06-12
Bench Reverse Crunch,strength,system,764,113,380,2025-02-28,2026-06-23
Suspension Hamstring Curl,endurance,system,2634,112,399,2024-08-29,2026-07-08
Dumbbell Incline Bench Chest Fly,strength,system,1111,111,550,2025-07-02,2026-07-15
Barbell Dead Row,strength,custom,1084,111,436,2024-09-30,2026-07-20
Rowing,cardio,system,3841,110,1364,2023-09-12,2026-07-18
Scapula Pull Up,endurance,custom,1241,110,582,2024-02-01,2026-07-01
Dumbbell Romanian Deadlift,strength,custom,841,110,379,2024-02-27,2026-07-21
Mini Band Hip Lifted Clamshell,endurance,system,1718,109,770,2025-02-27,2026-07-16
Squatting Internal and External Rotation,general,system,1126,109,562,2024-10-03,2026-06-19
Kettlebell Swing,strength,system,2797,108,842,2023-10-14,2026-07-18
Incline Push Up,endurance,system,996,108,437,2023-10-30,2026-07-21
Single Arm Neutral Grip Lat Pulldown,strength,system,1279,106,621,2023-12-22,2026-07-21
Table Top Full Arm Thoracic Rotation,strength,system,1441,105,720,2025-12-31,2026-07-21
Hip Switch (90/90),strength,custom,1120,105,560,2023-10-12,2026-06-19
Lying Hip Abductions,endurance,system,700,105,320,2024-12-30,2026-07-21
Dumbbell Push Press,strength,system,1219,104,608,2026-04-01,2026-06-26
Lat Pulldown Machine Wide Grip,strength,system,974,104,435,2023-09-11,2026-07-20
Dumbbell Seated Shoulder Press,strength,system,495,104,237,2023-09-11,2026-07-20
Suspension High Row,endurance,system,2425,103,891,2025-11-24,2026-07-20
Side Lying Fixed Hip Internal Rotations,endurance,custom,644,100,282,2023-12-07,2025-12-20
Kettlebell Windmill,strength,system,694,99,350,2024-04-06,2026-07-16
Dumbbell Front Squat,strength,system,549,99,280,2023-11-27,2026-07-07
Dumbbell Hammer Curl,strength,system,645,98,297,2023-11-10,2026-05-27
Cable Rope Tricep Extension,strength,system,614,98,297,2024-01-10,2026-07-21
Dumbbell Goblet Squat,strength,system,556,98,271,2025-11-10,2026-07-21
Single Arm Racked Alternating Reverse Lunge,strength,system,322,98,127,2025-03-24,2026-07-21
Cable Single Leg Kickback,strength,system,606,97,294,2024-12-23,2026-07-21
Duck Walk,endurance,system,505,97,361,2024-02-27,2026-07-15
Dynamic Hip Flexor Stretch,general,system,1242,95,499,2024-01-02,2026-07-16
Dumbbell Elevated Lateral Lunge,strength,system,1113,95,555,2026-01-06,2026-06-19
Ski Erg,cardio,custom,2038,93,856,2023-09-16,2026-07-18
Behind Neck Broomstick Glide,endurance,custom,915,93,456,2023-10-12,2025-12-20
Mountain Climber,endurance,system,717,93,376,2023-10-10,2026-07-21
Medicine Ball Slam,strength,system,1464,92,600,2023-09-16,2026-07-21
Foam Roller Thoracic Extension,strength,system,1253,92,626,2025-12-31,2026-07-15
Side Lunge,endurance,system,901,90,370,2023-11-07,2026-07-21
Superband Pull Apart,endurance,system,781,89,379,2023-09-14,2026-07-11
Rear Foot Elevated Hip Flexor Stretch,timedLongerBetter,system,714,89,442,2023-12-05,2026-07-07
Dumbbell Single Arm Overhead Tricep Extension,strength,system,518,89,258,2025-04-03,2026-07-21
Forward Fold Stretch,timedLongerBetter,system,1575,87,827,2025-01-07,2026-07-21
Static Rear Delt Stretch,general,system,1574,87,826,2025-01-07,2026-07-21
Table Top Half Arm Thoracic Rotation,general,system,630,87,575,2025-04-03,2026-03-12
Kettlebell Turkish Get Up,strength,system,1280,86,655,2023-11-07,2026-07-21
Alternating Arm Hug,general,system,1004,86,682,2023-12-09,2026-07-21
Weighted Chin Up,strength,system,514,85,253,2025-02-24,2026-07-15
Bodyweight Alternating Cossack Squat,strength,system,1130,84,376,2026-01-02,2026-07-03
Dead Ball Over The Shoulder,strength,custom,1403,83,549,2023-10-10,2026-06-27
Weighted Push Up,strength,custom,961,83,475,2025-04-30,2026-07-15
Band Prone Hamstring Curl,strength,custom,557,83,267,2023-09-14,2026-07-10
Child's Pose,general,system,469,83,322,2023-12-05,2026-07-16
Dumbbell Thruster,strength,system,1330,82,472,2024-01-06,2026-07-18
Walk out to Push Up,strength,system,416,82,208,2026-04-01,2026-04-22
Ring Row,strength,custom,2054,80,887,2023-09-16,2026-07-21
Deadball Squat w Slam,strength,custom,1418,80,347,2024-02-03,2026-07-17
Dumbbell Incline Bench Press,strength,system,1197,80,482,2023-11-08,2026-06-18
Deadbug,strength,custom,1046,80,507,2024-08-07,2026-07-07
Suspension Mountain Climber,endurance,system,505,80,243,2025-01-03,2026-07-10
Alternate Nostril Breathing #1,general,custom,370,80,368,2025-01-07,2026-07-21
Dynamic Hip Opening Flow,general,system,777,79,419,2023-12-09,2026-07-17
Suspension Mid Row,endurance,system,457,79,228,2025-11-24,2025-12-19
Cable Hip Abduction,strength,system,444,79,219,2025-02-24,2026-07-21
Dumbbell Seated Back Fly,strength,system,375,79,187,2025-04-03,2026-07-21
I.Y.T,endurance,custom,253,79,247,2026-02-23,2026-07-20
Bench Tricep Dip,endurance,system,1093,78,229,2025-03-11,2026-07-21
Plate Weighted Crunch,strength,system,499,78,200,2023-09-12,2026-07-20
Dynamic Rear Foot Elevated Hip Flexor Stretch,endurance,system,462,78,230,2025-10-22,2025-12-19
Goblet Box Squat,strength,custom,898,77,364,2023-09-11,2026-07-20
Reverse Lunge,endurance,system,845,76,293,2023-09-13,2026-06-30
Adductor Stretch with Thoracic Twist,strength,system,412,76,206,2025-11-24,2025-12-20
Diamond Push Up,endurance,system,979,75,211,2025-05-02,2026-07-18
Anchored Straight Leg Raises,strength,system,400,75,200,2026-02-23,2026-07-17
SuperBand Seated Row,endurance,system,286,75,140,2023-12-21,2026-07-15
Supine Deep Neck Flexor Nod,endurance,custom,1625,74,784,2023-10-12,2026-07-21
Banded Ankle Mobilisations (Talus),general,custom,783,74,408,2024-04-04,2026-04-30
Soleus Stretch (Bench),general,custom,783,74,408,2024-04-04,2026-04-30
5-Inch Ankle Mobility Test,general,custom,770,74,408,2024-04-04,2026-04-30
Dumbbell Single Arm Lateral Raise,strength,system,442,74,219,2025-02-19,2026-07-15
NSDR (Non Sleep Deep Rest) #1,general,custom,344,74,344,2025-01-30,2026-06-23
Paris Street Hill Run,general,custom,2496,73,517,2023-11-11,2026-07-18
Behind Neck Broomstick Pulldown w Spinal Twist,general,custom,1148,73,478,2023-10-09,2026-07-17
Pancake Stretch,general,custom,686,73,257,2024-01-04,2026-07-16
Trap Bar Deadlift,strength,system,589,73,303,2023-09-15,2026-07-18
Navy Seal Box Breathing,timedLongerBetter,custom,2494,72,909,2023-09-14,2026-07-13
Suitcase Carry,strength,custom,987,72,309,2024-04-30,2026-04-28
Thread the Needle Alternating Back Stretch,general,system,601,72,300,2025-01-02,2026-07-16
Dumbbell Incline Bicep Curl,strength,system,432,72,213,2025-01-31,2026-07-16
Dumbbell Standing Overhead Push Press,strength,system,805,71,239,2024-05-01,2026-03-25
Skater,endurance,system,570,71,216,2025-02-25,2026-06-25
Controlled Mountain Climber,endurance,custom,730,70,376,2023-10-10,2026-07-16
Bear Plank Crawl,endurance,custom,530,70,230,2024-04-04,2026-06-30
SL Seated Hip Flexion,endurance,custom,419,70,208,2024-05-30,2026-07-16
V Raise,endurance,system,687,69,339,2025-01-02,2026-07-07
Dumbbell Single Arm Tricep Kickback,strength,system,1833,68,187,2024-03-27,2026-07-16
Pass Through,general,system,829,68,349,2023-10-09,2025-11-18
Reverse Nordic Fall,endurance,custom,496,68,243,2024-02-29,2026-07-14
Guided Diaphragmatic Breathing #1,general,custom,258,68,258,2025-01-02,2026-06-30
Eccentric Chin Up,strength,custom,1031,67,510,2024-05-27,2026-04-28
Dynamic Frog Stretch,general,system,626,67,237,2023-10-14,2026-07-17
Suspension Single Leg Squat,endurance,system,602,67,563,2024-07-05,2026-04-07
Push Up,strength,system,192,67,94,2026-02-25,2026-06-25
Dumbbell Alternating Hammer Curl,strength,system,1221,66,603,2024-07-01,2026-07-10
Backward Sled Drag,strength,system,868,66,424,2023-09-11,2025-02-19
Banded Ant/Post Tilt,endurance,custom,436,66,217,2024-01-04,2025-12-25
Arm Circle,general,system,445,65,262,2025-01-28,2026-07-17
Suspension Chest Press,endurance,system,1459,64,527,2023-10-09,2026-06-18
Lunge Stretch w Knee Push Out,strength,custom,492,64,191,2024-01-04,2025-12-25
5 Minute Box Breathing Exercise | Regulate Your Nervous System (Ocean) | Guided by Megan Brown,general,custom,332,64,330,2025-08-28,2026-07-16
Z Press,strength,custom,761,63,358,2024-07-03,2025-08-28
Stair/Driveway,general,custom,743,63,157,2023-11-11,2026-05-11
Jump Squat to Reverse Lunge,strength,system,674,63,261,2026-01-06,2026-07-02
Turkish Bridge,strength,custom,362,63,148,2024-02-01,2026-06-25
Turkish Touchdown,strength,custom,292,63,146,2024-02-01,2026-06-25
Quadruped Wrist Flexion,endurance,custom,635,62,267,2023-11-09,2025-08-21
Mountain Climber Stretch w Side Opener,endurance,custom,323,62,161,2023-12-07,2025-12-25
Box Pistol Squat,strength,system,656,60,318,2024-07-05,2026-07-14
Dead Bug,strength,custom,308,60,183,2024-05-10,2026-07-20
Lat Machine Single Arm Close Grip Row,strength,system,311,59,153,2024-06-03,2026-05-13
Dumbbell Shoulder Tri-Raise,strength,custom,238,59,166,2024-02-28,2026-07-21
Cable Seated Row,strength,system,665,58,303,2023-09-13,2026-07-20
Copenhagen Plank,timedLongerBetter,custom,469,58,225,2024-01-04,2026-07-16
Bicycle Crunch,endurance,system,394,58,171,2023-10-14,2026-02-19
Walkouts,endurance,system,784,57,253,2024-05-28,2026-06-30
Body Weight Single Leg Deadlift,endurance,system,396,57,193,2024-06-14,2026-07-03
Static Quadricep Stretch,general,system,390,57,195,2025-01-28,2026-07-17
Push Up w Side Leg Sweep,endurance,custom,384,57,154,2023-12-07,2025-09-25
Turkish Sit Up,strength,custom,329,57,136,2024-01-04,2026-06-25
Dumbbell Shrugs (Hang Position),strength,custom,832,56,353,2024-09-30,2026-02-28
Dumbbell Standing Back Fly,strength,system,676,56,331,2024-07-03,2024-09-25
Kettlebell Sumo Deadlift,strength,system,587,56,187,2023-10-10,2026-07-16
Dumbbell Calf Raise,strength,system,694,55,344,2024-04-05,2026-04-07
Reverse Crunch,endurance,system,562,55,196,2024-11-26,2026-06-23
Wrist Circles,endurance,custom,409,55,233,2025-01-02,2026-01-01
Sled Push,strength,system,1065,54,491,2023-09-16,2024-10-26
Shoulder Tap,endurance,system,592,54,237,2023-10-14,2026-01-09
Quadruped Finger Push Ups,endurance,custom,463,54,191,2023-12-07,2026-01-01
Explosive Incline Push Up,strength,custom,967,53,396,2023-10-11,2026-01-16
Block Run,timedFasterBetter,custom,808,53,219,2024-03-02,2026-06-27
Single Leg Glute Stretch,general,system,461,53,217,2023-10-14,2026-07-02
Cossack Squat (Strength),strength,custom,410,52,202,2024-07-04,2026-07-21
Ankle Plantar and Dorsiflexion,general,system,270,52,135,2025-02-27,2026-06-30
SuperBand Glute Bridge,endurance,system,1050,51,352,2024-01-01,2026-07-04
Barbell Back Squat,strength,system,659,51,218,2023-09-11,2026-06-22
High Knees,endurance,system,360,51,180,2023-11-07,2026-07-17
Jumping Jack,endurance,system,358,51,179,2023-11-07,2026-07-17
Body Weight Alternating Forward Lunge,endurance,system,353,51,229,2025-03-29,2026-06-27
Superband Pulldown,strength,custom,285,51,141,2024-04-22,2026-02-18
Bodyweight Split Squat,endurance,system,212,51,118,2023-09-20,2026-07-21
Suspension Atomic Push Up,endurance,system,188,51,94,2026-07-01,2026-07-15
Seal Jack to Squat,strength,system,360,50,139,2026-01-27,2026-06-30
Stability Ball Dead Bug,endurance,system,510,49,242,2023-09-15,2025-12-09
Side Plank Hip Dip,endurance,system,308,49,154,2025-01-30,2025-12-25
Dumbbell Lying Rear Lateral Raise,strength,system,280,49,138,2024-11-27,2025-10-03
Barbell Bicep Curl,strength,system,252,49,122,2024-09-02,2025-06-25
Front Foot Elevated Split Squat,strength,custom,678,48,269,2023-10-11,2026-04-23
Agility: 90-Degree Hops,strength,system,501,48,167,2025-09-09,2026-06-23
Body Weight Step Up,endurance,system,400,48,151,2023-09-12,2025-11-06
Bear Crawl,endurance,system,232,48,130,2025-01-28,2026-07-17
Upper Body Twist,endurance,system,180,48,114,2025-01-02,2026-04-28
Incline Dumbbell Bicep Raise,strength,custom,692,47,261,2024-01-31,2024-03-27
Zercher Box Squat,strength,custom,673,47,237,2023-09-11,2026-02-19
Rowing Machine,strength,system,450,47,150,2025-12-30,2026-07-21
Isometric Chin Up Hold,timedLongerBetter,custom,309,47,154,2024-02-26,2024-05-27
Trunk Rotation,general,system,220,47,122,2025-01-07,2026-04-28
Child's Pose Pec Stretch w Int Rotation,general,custom,205,47,132,2024-02-29,2026-07-16
Body Scan Meditation,general,custom,194,47,194,2025-04-01,2025-12-23
Pilates - Seated Forward Fold,strength,system,531,46,177,2026-01-08,2026-07-16
Dumbbell Pullover,strength,system,467,46,192,2023-10-11,2026-01-21
Suspension Hip Abduction,endurance,system,273,46,136,2025-04-27,2026-06-01
Bent Over T-Bar Row,strength,custom,259,46,127,2025-04-27,2026-05-18
Barbell Shrug,strength,system,255,46,125,2024-09-30,2024-11-18
Half-Kneeling Thoracic Wall Rotation,endurance,custom,242,46,120,2024-07-04,2026-01-20
Cable V-Bar Overhead Tricep Extension,strength,system,221,46,109,2025-01-08,2026-05-01
Suspension Body Saw From Elbow,endurance,system,180,46,107,2024-07-02,2025-08-21
Inchworm Walk,endurance,system,486,45,165,2023-11-07,2026-07-16
Band Anchored Tricep Pushdown,endurance,system,466,45,215,2024-01-03,2025-11-19
Dragon Flags,strength,custom,446,45,148,2024-01-31,2025-01-01
Pilates - Frog,strength,system,426,45,142,2026-02-26,2026-07-16
Burpee,endurance,system,358,45,127,2025-01-28,2026-05-23
Superband Pancake Good Morning,strength,custom,319,45,144,2024-05-02,2026-07-21
Lying Piriformis Stretch,general,system,285,45,274,2023-12-09,2026-07-02
Rest,rest,system,267,45,113,2023-09-16,2026-07-20
Barbell Full Clean,strength,system,255,45,122,2024-11-25,2026-03-24
Squat Jump,endurance,system,253,45,144,2025-01-11,2026-07-11
Butt Kickers,endurance,system,247,45,166,2025-01-28,2026-07-17
Stability Ball Roll Up Crunch,endurance,system,238,45,116,2024-11-25,2024-12-23
Barbell Clean High Pull,strength,system,204,45,101,2024-10-28,2024-11-18
Guided Belly Breathing,general,custom,119,45,119,2025-04-03,2026-07-16
Downward Dog Push Up,endurance,custom,510,44,177,2023-11-09,2024-12-24
Kettlebell Single Arm Swing,strength,system,499,44,146,2023-09-12,2026-02-21
High Knee Skipping,general,system,423,44,108,2023-11-07,2026-07-02
Suspension Bicep Curl,endurance,system,203,44,101,2025-01-31,2026-05-01
Trap 3 Raise,strength,system,461,43,206,2023-10-12,2026-01-02
Crunch Heel Tap,endurance,system,446,43,183,2023-10-10,2025-05-29
Mountain Climber Stretch,general,custom,428,43,156,2023-11-09,2026-07-02
Kettlebell Single Arm Clean and Press,strength,system,355,43,124,2025-01-28,2026-04-25
Kettlebell Racked Carry,strength,system,312,43,109,2025-09-11,2026-07-21
Dumbbell Curtsy Reverse Lunge,strength,custom,295,43,144,2024-02-26,2025-08-28
Kettlebell Single Arm Clean,strength,system,286,43,126,2023-12-09,2025-09-23
Swimmers,endurance,system,277,43,138,2025-01-02,2026-01-01
Barbell Reverse Lunge,strength,system,247,43,118,2024-01-29,2026-06-18
Band Face Pulls,endurance,system,205,43,74,2024-03-27,2026-06-18
Dynamic Side Lunge Stretch,timedLongerBetter,system,572,42,298,2023-12-09,2026-07-16
Lateral Gorilla Hops,strength,system,456,42,152,2026-01-06,2026-06-23
Shuttle Run,endurance,custom,424,42,212,2023-10-10,2024-10-22
Sissy Squat,strength,custom,418,42,207,2024-07-04,2024-10-24
Plank Alternating Leg Lift,endurance,system,285,42,98,2025-04-03,2026-07-16
Heavy Sled Push,strength,custom,281,42,138,2024-02-26,2024-03-25
Medicine Ball Pistol Squat,strength,system,277,42,138,2024-11-01,2024-12-27
Single Leg L-Sit,timedLongerBetter,custom,239,42,119,2023-11-09,2024-12-26
Superband Alternating Diagonal Pull Apart,endurance,custom,239,42,119,2023-11-09,2024-12-26
Forward Leg Swing,general,system,232,42,232,2023-12-09,2025-07-22
Lateral Leg Swing,general,system,232,42,232,2023-12-09,2025-07-22
Prone Arm Raise,strength,custom,506,41,245,2023-10-11,2026-07-21
Dumbbell High Pull,strength,system,386,41,104,2024-07-02,2025-10-21
Arms Overhead Reverse Lunge to Side Bend,strength,system,248,41,124,2025-05-27,2025-12-23
Barbell Straight Leg Deadlift,strength,system,225,41,111,2024-01-08,2025-07-09
Broad Jump,strength,system,224,41,106,2025-04-05,2026-07-21
Hinge to T-Rotation,strength,system,411,40,137,2026-01-29,2026-07-16
Straddle Stretch,strength,system,411,40,137,2026-01-29,2026-07-16
90-90 Hip Switch to Lift and Reach,strength,system,401,40,163,2026-01-08,2026-07-16
Fire Hydrant Standing,general,system,375,40,144,2026-01-08,2026-06-30
Bulgarian Split Squat (Glute Emphasis ),strength,custom,310,40,123,2023-09-13,2026-07-17
Mini Band Wall Sit Marches,endurance,system,189,40,94,2024-11-29,2024-12-27
Dumbbell Hip Thrust,strength,system,422,39,177,2024-02-02,2026-06-05
Lying Straight Leg Raise,endurance,system,400,39,106,2024-01-02,2026-06-10
Agility: In/Out Steps,strength,system,291,39,97,2025-09-09,2026-07-21
Quadruped Side Leg Sweep w ER,endurance,custom,240,39,80,2023-12-07,2024-12-26
SuperBand Anchored Pistol Squat to Row,endurance,system,192,39,95,2024-10-04,2024-10-25
Thread the Needle Glute Stretch,general,system,177,39,177,2023-12-05,2026-01-28
Prone Reverse Prayer Around The Worlds,strength,custom,161,39,80,2023-12-07,2024-12-26
Medicine Ball Squat & Throw,strength,system,607,38,153,2023-12-05,2024-11-23
Hip Thrust,strength,custom,573,38,203,2023-09-13,2026-04-23
Fast Feet,timedLongerBetter,system,228,38,76,2026-04-28,2026-07-16
Plank To Push Up,endurance,system,175,38,87,2024-08-13,2025-12-25
Deadball Lunge w Slam,strength,custom,643,37,150,2024-02-03,2024-12-24
Cobra,general,system,284,37,123,2023-09-12,2024-11-20
Bodyweight A-skip,strength,system,186,37,93,2025-12-30,2026-07-21
Bodyweight Squat To Hinge,strength,system,186,37,93,2025-12-30,2026-07-21
Jog On The Spot,strength,system,186,37,93,2025-12-30,2026-07-21
Mini Band Clamshell,endurance,system,184,37,85,2025-01-02,2026-06-12
Yoga - Supine Twist (Jathara Parivartanasana),strength,system,148,37,74,2025-04-03,2026-07-16
Static Pigeon Stretch,general,system,448,36,267,2023-12-09,2026-07-02
Standing Piriformis Stretch,general,system,348,36,116,2024-01-30,2024-12-24
Pilates - Twist (Side Plank to twist),strength,system,270,36,90,2026-02-26,2026-07-16
Squat to T-Rotation,strength,system,270,36,90,2026-02-26,2026-07-16
Pop Squats,strength,system,250,36,83,2026-04-02,2026-06-25
Dumbbell External Rotation on Side,strength,system,195,36,91,2025-02-27,2025-12-09
Mini Band Side Lying Hip Abduction,endurance,system,179,36,89,2025-03-03,2026-07-16
Band Glute Kickback,endurance,system,176,36,87,2024-01-01,2025-04-15
Balance Board Single Leg Knee Drive,endurance,system,162,36,81,2025-05-29,2025-12-25
Mini Band Clamshell Hip Lift with Internal Rotation,endurance,system,162,36,81,2025-05-29,2025-12-25
